symbol,timestamp,open,high,low,close,volume
XRPUSDT,2024-08-25,0.6121,0.6137,0.5946,0.5996,560402923.7
XRPUSDT,2024-08-26,0.5996,0.6017,0.5768,0.5871,659950864.6
XRPUSDT,2024-08-27,0.5871,0.6,0.5517,0.5662,968926739.3
XRPUSDT,2024-08-28,0.5662,0.5843,0.5554,0.569,941325545.8
XRPUSDT,2024-08-29,0.569,0.5765,0.5568,0.5615,458137245.0
XRPUSDT,2024-08-30,0.5616,0.5675,0.5458,0.5665,602240431.3
XRPUSDT,2024-08-31,0.5666,0.5719,0.5621,0.5661,236465394.0
XRPUSDT,2024-09-01,0.5661,0.5664,0.5424,0.5467,486139951.9
XRPUSDT,2024-09-02,0.5468,0.5685,0.5439,0.5674,440230430.3
XRPUSDT,2024-09-03,0.5675,0.5723,0.5551,0.5569,448758290.5
XRPUSDT,2024-09-04,0.557,0.5645,0.5321,0.5576,647486307.6
XRPUSDT,2024-09-05,0.5577,0.5595,0.5392,0.5441,419648373.6
XRPUSDT,2024-09-06,0.544,0.5471,0.5021,0.5206,852389315.1
XRPUSDT,2024-09-07,0.5207,0.5325,0.5194,0.5246,289501134.0
XRPUSDT,2024-09-08,0.5245,0.5313,0.5204,0.5292,260391872.3
XRPUSDT,2024-09-09,0.5292,0.5427,0.5266,0.5392,437188674.6
XRPUSDT,2024-09-10,0.5393,0.5425,0.5333,0.5405,339110165.4
XRPUSDT,2024-09-11,0.5405,0.541,0.5227,0.5346,527463587.2
XRPUSDT,2024-09-12,0.5345,0.5882,0.5331,0.5624,1471310829.8
XRPUSDT,2024-09-13,0.5624,0.5748,0.555,0.5722,898592133.7
XRPUSDT,2024-09-14,0.5722,0.5999,0.5701,0.5953,977842114.0
XRPUSDT,2024-09-15,0.5953,0.5955,0.5675,0.5703,617484007.6
XRPUSDT,2024-09-16,0.5703,0.5914,0.5593,0.5861,784389876.2
XRPUSDT,2024-09-17,0.5861,0.593,0.5785,0.5836,594261797.6
XRPUSDT,2024-09-18,0.5835,0.5854,0.5616,0.5851,735696509.2
XRPUSDT,2024-09-19,0.585,0.5944,0.5809,0.5867,778633057.8
XRPUSDT,2024-09-20,0.5867,0.5928,0.5759,0.5847,728480236.8
XRPUSDT,2024-09-21,0.5847,0.6128,0.5797,0.5973,616997970.3
